inspire,영감을 주다,21063
air,방송되다(하다),21063
enhance,"향상하다, 높이다",21063
influential,"영향력 있는, 영향력 큰",21063
reactive,"반응하는, 반응을 보이는",21063
switch,"전환하다, 스위치를 켜다",21063
block off,"막다, 차단하다",21063
frustrated,좌절한,21063
by definition,"절대적으로, 당연히",21063
inbox,받은 편지함,21063
professionalism,전문성,21063
contractor,도급업자(어떤 일을 나 대신 해주기로 한 사람),21063
thereby,"그것에 의해서, 그렇게 함으로서, 그것 때문에",21063
methodology,방법론,21063
address,"(문제, 상황 등에 대해)다루다[고심하다]",21063
execute,실행하다,21063
absorption,"몰두, 몰입 + 흡수",21063
identify with,~와 동일시하다,21063
incoherent,일관되지 않은,21063
regress,퇴보하다,21063
try out,~을 시도하다,21063
metaphorical,"은유의, 은유적인, 비유의, 비유적인",21063
cognitive,"인식의, 인지의",21063
impair,"손상시키다, 해치다",21063
perception,"인식, 지각",21063
motivational,동기의,21063
qualitative,"질적인, 질적의",21063
point to,~을 가리키다,21063
reliable,"믿을 수 있는, 믿을만한",21063
motivation,동기,21063
regularity,규칙성,21063
predictability,예측가능성,21063
equinox,"추분점, 춘분점의 총칭",21063
solstice,"지점(하지점, 동지점)",21063
eclipse,"(해, 달의) 식",21063
bear,"가지다, 품다",21063
testimony,증언,21063
bring forth,"~을 생산하다, 낳다",21063
memorabilia,기념품 ,21063
identify,동일시하다,21063
passionate,"열정적인, 열렬한",21063
border,"~에 접하다, 접해 있다",21063
obsession,집착,21063
intensity,"강렬함, 강도",21063
organisation,조직,21063
kinship,"친족, 연대감, 친족간 유대",21063
kin,친족,21063
refer A as B,A를 B라고 칭하다,21063
multigenerational,"여러세대의, 다세대의",21063
rest on,"~에 기초하다, ~에 의존하다",21063
proximity,근접,21063
occupational,"직업의, 직업상의",21063
spatial,공간의,21063
reference,"참고, 참조",21063
asymmetry,비대칭,21063
coherent,일관성 있는,21063
sufficiently,충분히,21063
venture,모험,21063
equilibrium,"균형, 평형[상태]",21063
equilibria,equilibrium의 복수형,21063
boil down to,결국 ~이 되다,21063
shipyard,조선소,21063
