reflect on,~을 성찰하다,sw22
self-awareness,자각,sw22
invoke,"(근거로) 들다[제시하다], 호소하다",sw22
suggestiveness,암시성,sw22
impressionist,"인상주의의, 인상파의; 인상파화가",sw22
contemporary,동시대인,sw22
foreshorten,축소하다,sw22
infallibility,무과실성,sw22
multiply,증식하다,sw22
universalist,"만능의 개체, 만능인",sw22
pay respect to,"존중하다, 존중을 보내다",sw22
like-minded,같은 생각을 지닌,sw22
hold together,"~을 연결하다, ~을 하나로 뭉치다",sw22
clearinghouse,"(정보) 교환소, 어음 교환소",sw22
correspondence,"서신, 상응",sw22
polio,소아마비,sw22
take up,~을 차지하다,sw22
interdisciplinary,"여러 학문간의, 학제간의",sw22
hallway discussion,격식 없는 토론,sw22
encounter,"만남, 접촉",sw22
back down,"물러서다, 굴복하다",sw22
flee,"도망치다, 도주하다, 달아나다",sw22
prefect,완벽해지다 (동사),sw22
fine,"좋은, 훌륭한, 기술이 뛰어난",sw22
agility,민첩성,sw22
be capable of,~할 수 있는 능력이 있는,sw22
antelope,영양,sw22
hoofed,발굽이 있는,sw22
panic,겁에 질리다,sw22
as long as,~하는 한,sw22
head start,한발 앞선 출발,sw22
canine,개과의 동물,sw22
peninsula,반도,sw22
plume,기둥,sw22
practice,"실천[실행]하다, 늘 행하다",sw22
experiment with,~을 실험하다,sw22
show up,~을 나타내다[드러내 보이다] + 눈에 띄다[나타나다],sw22
defining,"결정적으로 중요한, 결정적인",sw22
decorative,장식의,sw22
tacit,"암묵적인, 침묵의",sw22
go along,진행하다,sw22
there is little point in -ing,~하는 것은 별로 소용이 없다,sw22
somehow,어떻게든,sw22
unfold,"(경치, 이야기 등이) 전개되다, 펼쳐지다",sw22
rallying cry,구호,sw22
promising,"전망이 좋은, 유망한",sw22
assurance,확신,sw22
pre se,그 자체로는,sw22
benevolent,"자애로운, 자비로운, 인자한",sw22
unfathomable,헤아릴 수 없는,sw22
underpin,뒷받침하다,sw22
amenable,"(확인, 검사 등을) 받을 수 있는",sw22
reconcile,"조화시키다, 화해시키다",sw22
inconsistent,"모순된, 일관성이 없는",sw22
synthesize,종합하다,sw22
deem,여기다,sw22
be inclined to,~하는 경향이 있다,sw22
monopolistic,독점적인,sw22
economics of scale,규모의 경제,sw22
price leadership,가격주도제,sw22
incumbent,현재 활동중인,sw22
entrant,"(어떤 직종, 대학 등에) 갓 들어온[합류한] 사람",sw22
incur,발생시키다,sw22
would-be,"장래의, 지망의",sw22
sunk cost,매몰비용,sw22
reverse,돌이키다,sw22
scare off,~을 겁주어 쫓아내다,sw22
escalate,차츰 올리다,sw22
turbulent,"사나운, 격동하는",sw22
enquire,"묻다, 문의하다",sw22
affirmatively,"긍정하며, 긍정적으로",sw22
